CTA BANCARIA;SALDO TRANSPORTE;DATA;No.LANCTO;No.DOCTO;TIPO MOVTO;DEBITO;CREDITO;FAVORECIDO;HISTORICO;SALDO;CTA ORCTO;VALOR;UNIDADE
22.768-61                     ;  103.007,63;21/03/2013;000137;10;debito bancario          ;    3.920,00;            ;CENTROVALE COM. E PRODUTOS HOSPITALARES LTDA           ;REF. a NF 26643                                                                                                         ;  364.678,58;000051 Estoque Hemo - MEDICAMENTOS                       ;    3.920,00;001;Taubaté
22.768-61                     ;  103.007,63;21/03/2013;000138;10;debito bancario          ;      391,15;            ;OSYSTEM MANUT. ELEV. LTDA                              ;REF. a NF 694                                                                                                           ;  364.287,43;000018 Manutenção Preventiva                             ;       19,56;001;Taubaté
;;;;;;;;;;;000018 Manutenção Preventiva                             ;        2,36;001;Taubaté
;;;;;;;;;;;000018 Manutenção Preventiva                             ;        4,30;001;Taubaté
;;;;;;;;;;;000018 Manutenção Preventiva                             ;        4,30;001;Taubaté
;;;;;;;;;;;000018 Manutenção Preventiva                             ;       38,33;001;Taubaté
;;;;;;;;;;;000018 Manutenção Preventiva                             ;       21,98;001;Taubaté
;;;;;;;;;;;000018 Manutenção Preventiva                             ;        1,17;001;Taubaté
;;;;;;;;;;;000018 Manutenção Preventiva                             ;        5,79;001;Taubaté
;;;;;;;;;;;000018 Manutenção Preventiva                             ;      161,94;001;Taubaté
;;;;;;;;;;;000018 Manutenção Preventiva                             ;       79,01;001;Taubaté
;;;;;;;;;;;000018 Manutenção Preventiva                             ;       52,41;001;Taubaté
22.768-61                     ;  103.007,63;21/03/2013;000139;10;debito bancario          ;      100,80;            ;T.F. FERRERA MEDIC ESPECIALIZADO                       ;REF. a NF 104                                                                                                           ;  364.186,63;000047 Estoque Hemo                                      ;      100,80;001;Taubaté
22.768-61                     ;  103.007,63;21/03/2013;000140;10;debito bancario          ;    1.353,42;            ;CIRURGICA SÃO JOSÉ LTDA.                               ;REF. a NF 29566                                                                                                         ;  362.833,21;000047 Estoque Hemo                                      ;    1.353,42;001;Taubaté
22.768-61                     ;  103.007,63;21/03/2013;000141;10;debito bancario          ;      385,00;            ;CIRURGICA SÃO JOSÉ LTDA.                               ;REF. a NF 29620                                                                                                         ;  362.448,21;000047 Estoque Hemo                                      ;      385,00;001;Taubaté
22.768-61                     ;  103.007,63;21/03/2013;000142;10;debito bancario          ;    1.110,00;            ;PORTOGAS OXIGENIO DO VALE GASES IND E MED LTD          ;REF. a NF 14232                                                                                                         ;  361.338,21;000024 Material de uso e consumo                         ;    1.110,00;001;Taubaté
22.768-61                     ;  103.007,63;21/03/2013;000143;10;debito bancario          ;      560,24;            ;VIVO S.A                                               ;REF. a NF 39249300                                                                                                      ;  360.777,97;000134 Telefonia                                         ;        3,92;002;São José
;;;;;;;;;;;000134 Telefonia                                         ;        0,17;002;São José
;;;;;;;;;;;000134 Telefonia                                         ;        1,52;002;São José
;;;;;;;;;;;000134 Telefonia                                         ;      168,07;002;São José
;;;;;;;;;;;000134 Telefonia                                         ;       50,42;002;São José
;;;;;;;;;;;000134 Telefonia                                         ;      336,14;002;São José
22.768-61                     ;  103.007,63;21/03/2013;000145;10;debito bancario          ;    8.134,02;            ;FRESENIUS MEDICAL LTDA                                 ;REF. a NF 5214                                                                                                          ;  352.643,95;000018 Manutenção Preventiva                             ;    2.600,65;001;Taubaté
;;;;;;;;;;;000018 Manutenção Preventiva                             ;    1.462,86;002;São José
;;;;;;;;;;;000021 Manutenção Equip. (Corretiva)                     ;    2.600,65;001;Taubaté
;;;;;;;;;;;000021 Manutenção Equip. (Corretiva)                     ;    1.469,86;002;São José
22.768-61                     ;  103.007,63;21/03/2013;000146;10;debito bancario          ;    4.432,50;            ;FRESENIUS MEDICAL LTDA                                 ;REF. a NF 269740                                                                                                        ;  348.211,45;000047 Estoque Hemo                                      ;    4.432,50;001;Taubaté
22.768-61                     ;  103.007,63;21/03/2013;000147;10;debito bancario          ;   20.723,57;            ;FRESENIUS MEDICAL LTDA                                 ;REF. a NF 263880                                                                                                        ;  327.487,88;000066 Imob. Maquinas e Equipamentos                     ;   20.723,57;001;Taubaté
22.768-61                     ;  103.007,63;21/03/2013;000148;10;debito bancario          ;   20.723,27;            ;FRESENIUS MEDICAL LTDA                                 ;REF. a NF 263882                                                                                                        ;  306.764,61;000066 Imob. Maquinas e Equipamentos                     ;   20.723,27;001;Taubaté
22.768-61                     ;  103.007,63;21/03/2013;000149;10;debito bancario          ;   22.309,79;            ;FRESENIUS MEDICAL LTDA                                 ;REF. a NF 262066                                                                                                        ;  284.454,82;000047 Estoque Hemo                                      ;   22.309,79;001;Taubaté
22.768-61                     ;  103.007,63;21/03/2013;000150;10;debito bancario          ;    6.667,50;            ;FRESENIUS MEDICAL LTDA                                 ;REF. a NF 262068                                                                                                        ;  277.787,32;000047 Estoque Hemo                                      ;    6.667,50;001;Taubaté
22.768-61                     ;  103.007,63;21/03/2013;000151;10;debito bancario          ;    6.840,00;            ;FRESENIUS MEDICAL LTDA                                 ;REF. a NF 262954                                                                                                        ;  270.947,32;000047 Estoque Hemo                                      ;    6.840,00;001;Taubaté
22.768-61                     ;  103.007,63;21/03/2013;000152;10;debito bancario          ;    9.753,75;            ;FRESENIUS MEDICAL LTDA                                 ;REF. a NF 274992                                                                                                        ;  261.193,57;000047 Estoque Hemo                                      ;    9.753,75;001;Taubaté
22.768-61                     ;  103.007,63;21/03/2013;000153;10;debito bancario          ;   10.361,79;            ;FRESENIUS MEDICAL LTDA                                 ;REF. a NF 263881                                                                                                        ;  250.831,78;000066 Imob. Maquinas e Equipamentos                     ;   10.361,79;001;Taubaté
22.768-61                     ;  103.007,63;21/03/2013;000154;10;debito bancario          ;   38.738,88;            ;FRESENIUS MEDICAL LTDA                                 ;REF. a NF 270282                                                                                                        ;  212.092,90;000047 Estoque Hemo                                      ;   38.738,88;001;Taubaté
22.768-61                     ;  103.007,63;21/03/2013;000155;10;debito bancario          ;    2.480,00;            ;FRESENIUS MEDICAL LTDA                                 ;REF. a NF 270171                                                                                                        ;  209.612,90;000047 Estoque Hemo                                      ;    2.480,00;001;Taubaté
22.768-61                     ;  103.007,63;21/03/2013;000156;10;debito bancario          ;      864,00;            ;FRESENIUS MEDICAL LTDA                                 ;REF. a NF 270283                                                                                                        ;  208.748,90;000047 Estoque Hemo                                      ;      864,00;001;Taubaté
22.768-61                     ;  103.007,63;21/03/2013;000157;10;debito bancario          ;    3.720,00;            ;FRESENIUS MEDICAL LTDA                                 ;REF. a NF 270284                                                                                                        ;  205.028,90;000047 Estoque Hemo                                      ;    3.720,00;001;Taubaté
22.768-61                     ;  103.007,63;21/03/2013;000158;10;debito bancario          ;    9.753,75;            ;FRESENIUS MEDICAL LTDA                                 ;REF. a NF 270650                                                                                                        ;  195.275,15;000047 Estoque Hemo                                      ;    9.753,75;001;Taubaté
22.768-61                     ;  103.007,63;21/03/2013;000159;10;debito bancario          ;    4.432,50;            ;FRESENIUS MEDICAL LTDA                                 ;REF. a NF 268961                                                                                                        ;  190.842,65;000047 Estoque Hemo                                      ;    4.432,50;001;Taubaté
22.768-61                     ;  103.007,63;21/03/2013;000160;10;debito bancario          ;      720,81;            ;FRESENIUS MEDICAL LTDA                                 ;REF. a NF 268197                                                                                                        ;  190.121,84;000024 Material de uso e consumo                         ;      720,81;001;Taubaté
22.768-61                     ;  103.007,63;21/03/2013;000161;10;debito bancario          ;    1.872,00;            ;FRESENIUS MEDICAL LTDA                                 ;REF. a NF 268196                                                                                                        ;  188.249,84;000047 Estoque Hemo                                      ;    1.872,00;001;Taubaté
22.768-61                     ;  103.007,63;21/03/2013;000162;10;debito bancario          ;   92.728,49;            ;FRESENIUS MEDICAL LTDA                                 ;REF. a NF 0102                                                                                                          ;   95.521,35;000024 Material de uso e consumo                         ;   85.783,13;001;Taubaté
;;;;;;;;;;;000024 Material de uso e consumo                         ;    6.945,36;002;São José
22.768-61                     ;  103.007,63;21/03/2013;000163;10;debito bancario          ;       52,78;            ;LABORATORIO ALVARO LTDA                                ;REF. a NF 165485                                                                                                        ;   95.468,57;000103 IRRF - PJ - CÓD. 1708 e 3280                      ;       52,78;001;Taubaté
22.768-61                     ;  103.007,63;21/03/2013;000164;16;despesas bancárias       ;        4,05;            ;despesas bancaria                                      ;                                                                                                                        ;   95.464,52;000117 Despesas Bancárias (tarifas)                      ;        4,05;001;Taubaté
22.768-61                     ;  103.007,63;22/03/2013;000165;16;despesas bancárias       ;        4,05;            ;despesa bancaria                                       ;                                                                                                                        ;   95.460,47;000117 Despesas Bancárias (tarifas)                      ;        4,05;001;Taubaté
22.768-61                     ;  103.007,63;25/03/2013;000166;11;CREDITO (CLIENTE)        ;            ;      325,00;ASSOCIAÇÃO BENEFICENTE FNV                             ;REF. a NF 731/NFE                                                                                                       ;   95.785,47;;;;
22.768-61                     ;  103.007,63;25/03/2013;000167;16;despesas bancárias       ;      235,00;            ;despesa bancaria                                       ;                                                                                                                        ;   95.550,47;000117 Despesas Bancárias (tarifas)                      ;      235,00;001;Taubaté
22.768-61                     ;  103.007,63;26/03/2013;000168;18;TED DEBITO               ;   10.000,00;            ;ted entre contas                                       ;                                                                                                                        ;   85.550,47;;;;
22.768-61                     ;  103.007,63;26/03/2013;000169;10;debito bancario          ;    1.135,00;            ;MACROMED C.M. MED. HOSP. LTDA                          ;REF. a NF 194243                                                                                                        ;   84.415,47;000047 Estoque Hemo                                      ;    1.135,00;001;Taubaté
22.768-61                     ;  103.007,63;26/03/2013;000170;10;debito bancario          ;    1.649,90;            ;MACROMED C.M. MED. HOSP. LTDA                          ;REF. a NF 215008                                                                                                        ;   82.765,57;000047 Estoque Hemo                                      ;    1.649,90;001;Taubaté
22.768-61                     ;  103.007,63;26/03/2013;000171;10;debito bancario          ;      857,65;            ;SUPERMED COM E IMP PROD MED E HOSPITALAR LTDA          ;REF. a NF 25879                                                                                                         ;   81.907,92;000047 Estoque Hemo                                      ;      857,65;001;Taubaté
22.768-61                     ;  103.007,63;26/03/2013;000172;10;debito bancario          ;      816,00;            ;PETRA MAGO                                             ;REF. a NF 1919                                                                                                          ;   81.091,92;000047 Estoque Hemo                                      ;      816,00;001;Taubaté
22.768-61                     ;  103.007,63;26/03/2013;000173;10;debito bancario          ;      969,76;            ;T.F. FERRERA MEDIC ESPECIALIZADO                       ;REF. a NF 112                                                                                                           ;   80.122,16;000047 Estoque Hemo                                      ;      969,76;001;Taubaté
22.768-61                     ;  103.007,63;26/03/2013;000174;10;debito bancario          ;      122,75;            ;CIRURGICA SÃO JOSÉ LTDA.                               ;REF. a NF 29813                                                                                                         ;   79.999,41;000047 Estoque Hemo                                      ;      122,75;001;Taubaté
22.768-61                     ;  103.007,63;26/03/2013;000175;10;debito bancario          ;   10.356,31;            ;BANDEIRANTE ENERGIA S A                                ;REF. a NF 1103                                                                                                          ;   69.643,10;000129 Energia Eletrica                                  ;      517,82;001;Taubaté
;;;;;;;;;;;000129 Energia Eletrica                                  ;       62,14;001;Taubaté
;;;;;;;;;;;000129 Energia Eletrica                                  ;      113,92;001;Taubaté
;;;;;;;;;;;000129 Energia Eletrica                                  ;      113,92;001;Taubaté
;;;;;;;;;;;000129 Energia Eletrica                                  ;    1.014,92;001;Taubaté
;;;;;;;;;;;000129 Energia Eletrica                                  ;      582,02;001;Taubaté
;;;;;;;;;;;000129 Energia Eletrica                                  ;       31,07;001;Taubaté
;;;;;;;;;;;000129 Energia Eletrica                                  ;      153,27;001;Taubaté
;;;;;;;;;;;000129 Energia Eletrica                                  ;    4.287,51;001;Taubaté
;;;;;;;;;;;000129 Energia Eletrica                                  ;    2.091,97;001;Taubaté
;;;;;;;;;;;000129 Energia Eletrica                                  ;    1.387,75;001;Taubaté
22.768-61                     ;  103.007,63;26/03/2013;000176;10;debito bancario          ;    6.725,78;            ;BANDEIRANTE ENERGIA S A                                ;REF. a NF 1103                                                                                                          ;   62.917,32;000129 Energia Eletrica                                  ;       40,35;002;São José
;;;;;;;;;;;000129 Energia Eletrica                                  ;      168,14;002;São José
;;;;;;;;;;;000129 Energia Eletrica                                  ;       98,87;002;São José
;;;;;;;;;;;000129 Energia Eletrica                                  ;        4,04;002;São José
;;;;;;;;;;;000129 Energia Eletrica                                  ;       38,34;002;São José
;;;;;;;;;;;000129 Energia Eletrica                                  ;    3.894,23;002;São José
;;;;;;;;;;;000129 Energia Eletrica                                  ;      248,85;002;São José
;;;;;;;;;;;000129 Energia Eletrica                                  ;    2.232,96;002;São José
22.768-61                     ;  103.007,63;26/03/2013;000177;17;TED CREDITO              ;            ;   70.000,00;TED ENTRE CONTAS                                       ;                                                                                                                        ;  132.917,32;;;;
22.768-61                     ;  103.007,63;26/03/2013;000179;11;CREDITO (CLIENTE)        ;            ;   36.000,00;HEMOCLINICA                                            ;REF. a NF 165/NF25                                                                                                      ;  168.917,32;;;;
22.768-61                     ;  103.007,63;26/03/2013;000180;16;despesas bancárias       ;        2,49;            ;DESPESA BANCARIA                                       ;                                                                                                                        ;  168.914,83;000117 Despesas Bancárias (tarifas)                      ;        2,49;001;Taubaté
22.768-61                     ;  103.007,63;27/03/2013;000178;11;CREDITO (CLIENTE)        ;            ;      656,70;PHARMA NET AG                                          ;REF. a NF 703/NFE                                                                                                       ;  169.571,53;;;;
22.768-61                     ;  103.007,63;27/03/2013;000181;17;TED CREDITO              ;            ;  120.000,00;TED ENTRE CONTAS                                       ;                                                                                                                        ;  289.571,53;;;;
22.768-61                     ;  103.007,63;27/03/2013;000182;10;debito bancario          ;   39.239,74;            ;W.M.B. GESTÃO PATRIMONIAL                              ;REF. a ALUGUEL TAUBATE                                                                                                  ;  250.331,79;000111 Alugueis (Tté e SJC)                              ;    1.961,99;001;Taubaté
;;;;;;;;;;;000111 Alugueis (Tté e SJC)                              ;      235,44;001;Taubaté
;;;;;;;;;;;000111 Alugueis (Tté e SJC)                              ;      431,64;001;Taubaté
;;;;;;;;;;;000111 Alugueis (Tté e SJC)                              ;      431,63;001;Taubaté
;;;;;;;;;;;000111 Alugueis (Tté e SJC)                              ;    3.845,49;001;Taubaté
;;;;;;;;;;;000111 Alugueis (Tté e SJC)                              ;    2.205,27;001;Taubaté
;;;;;;;;;;;000111 Alugueis (Tté e SJC)                              ;      117,72;001;Taubaté
;;;;;;;;;;;000111 Alugueis (Tté e SJC)                              ;      580,75;001;Taubaté
;;;;;;;;;;;000111 Alugueis (Tté e SJC)                              ;   16.245,25;001;Taubaté
;;;;;;;;;;;000111 Alugueis (Tté e SJC)                              ;    7.926,43;001;Taubaté
;;;;;;;;;;;000111 Alugueis (Tté e SJC)                              ;    5.258,13;001;Taubaté
22.768-61                     ;  103.007,63;27/03/2013;000183;17;TED CREDITO              ;            ;    1.299,72;ted entre contas                                       ;                                                                                                                        ;  251.631,51;;;;
22.768-61                     ;  103.007,63;27/03/2013;000185;16;despesas bancárias       ;        4,05;            ;DESPESA BANCARIA                                       ;                                                                                                                        ;  251.627,46;000117 Despesas Bancárias (tarifas)                      ;        4,05;001;Taubaté
22.768-61                     ;  103.007,63;28/03/2013;000184;10;debito bancario          ;      520,00;            ;TADEU FERNANDO DOS SANTOS ME                           ;REF. a NF 132 CHEQUE 490021                                                                                             ;  251.107,46;000020 Manutenção Predial                                ;      520,00;001;Taubaté
22.768-61                     ;  103.007,63;28/03/2013;000186;10;debito bancario          ;       65,00;            ;TERRA RECURSOS HUMANOS LTDA.                           ;REF. a NF 2787                                                                                                          ;  251.042,46;000039 Serviço Contratado PJ                             ;       65,00;001;Taubaté
22.768-61                     ;  103.007,63;28/03/2013;000187;10;debito bancario          ;   21.805,55;            ;SABESP - COMPAHIA DE SANEAMENTO BÁSICO DO ESP          ;REF. a NF 0403                                                                                                          ;  229.236,91;000133 Agua                                              ;    1.090,28;001;Taubaté
;;;;;;;;;;;000133 Agua                                              ;   20.715,27;001;Taubaté
22.768-61                     ;  103.007,63;28/03/2013;000188;10;debito bancario          ;    4.044,95;            ;SABESP - COMPAHIA DE SANEAMENTO BÁSICO DO ESP          ;REF. a NF 2503                                                                                                          ;  225.191,96;000133 Agua                                              ;    4.044,95;002;São José
22.768-61                     ;  103.007,63;28/03/2013;000189;10;debito bancario          ;      298,00;            ;STELC CONSTRUÇÕES ELETRICOS E COERC LTDA               ;REF. a NF 17333                                                                                                         ;  224.893,96;000020 Manutenção Predial                                ;      298,00;001;Taubaté
22.768-61                     ;  103.007,63;28/03/2013;000190;10;debito bancario          ;    3.888,00;            ;PREFEITURA MUNICIPAL DE TAUBATÉ                        ;REF. a NF 2802                                                                                                          ;  221.005,96;000009 Residuos Solidos Septicos                         ;    3.888,00;001;Taubaté
22.768-61                     ;  103.007,63;28/03/2013;000191;10;debito bancario          ;    3.920,00;            ;CENTROVALE COM. E PRODUTOS HOSPITALARES LTDA           ;REF. a NF 26643                                                                                                         ;  217.085,96;000051 Estoque Hemo - MEDICAMENTOS                       ;    3.920,00;001;Taubaté
22.768-61                     ;  103.007,63;28/03/2013;000192;10;debito bancario          ;    2.089,27;            ;SABESP - COMPAHIA DE SANEAMENTO BÁSICO DO ESP          ;REF. a NF 2503                                                                                                          ;  214.996,69;000133 Agua                                              ;    2.089,27;002;São José
22.768-61                     ;  103.007,63;28/03/2013;000193;10;debito bancario          ;    1.335,22;            ;CREMER S. A.                                           ;REF. a NF 261263                                                                                                        ;  213.661,47;000047 Estoque Hemo                                      ;    1.335,22;001;Taubaté
22.768-61                     ;  103.007,63;28/03/2013;000194;10;debito bancario          ;      645,45;            ;CONTROLE DE QUALIDADE P/ LABORATORIOS                  ;REF. a NF 71066                                                                                                         ;  213.016,02;000034 Serviço de Laboratório                            ;      346,42;001;Taubaté
;;;;;;;;;;;000034 Serviço de Laboratório                            ;       15,62;001;Taubaté
;;;;;;;;;;;000034 Serviço de Laboratório                            ;       89,78;001;Taubaté
;;;;;;;;;;;000034 Serviço de Laboratório                            ;      148,45;002;São José
;;;;;;;;;;;000034 Serviço de Laboratório                            ;        6,65;002;São José
;;;;;;;;;;;000034 Serviço de Laboratório                            ;       38,53;002;São José
22.768-61                     ;  103.007,63;28/03/2013;000195;10;debito bancario          ;    2.005,17;            ;FLEURY S/A                                             ;REF. a NF 28273                                                                                                         ;  211.010,85;000034 Serviço de Laboratório                            ;    1.076,17;001;Taubaté
;;;;;;;;;;;000034 Serviço de Laboratório                            ;       48,53;001;Taubaté
;;;;;;;;;;;000034 Serviço de Laboratório                            ;      278,92;001;Taubaté
;;;;;;;;;;;000034 Serviço de Laboratório                            ;      461,19;002;São José
;;;;;;;;;;;000034 Serviço de Laboratório                            ;       20,65;002;São José
;;;;;;;;;;;000034 Serviço de Laboratório                            ;      119,71;002;São José
22.768-61                     ;  103.007,63;28/03/2013;000196;10;debito bancario          ;      300,40;            ;CENTROVALE COM. E PRODUTOS HOSPITALARES LTDA           ;REF. a NF 27336                                                                                                         ;  210.710,45;000051 Estoque Hemo - MEDICAMENTOS                       ;      300,40;001;Taubaté
22.768-61                     ;  103.007,63;28/03/2013;000197;10;debito bancario          ;    9.988,70;            ;MILCLEAN COM. E SERVIÇOS LTDA                          ;REF. a NF 4220                                                                                                          ;  200.721,75;000037 Serviço de Limpeza                                ;      146,83;002;São José
;;;;;;;;;;;000037 Serviço de Limpeza                                ;    6.033,18;002;São José
;;;;;;;;;;;000037 Serviço de Limpeza                                ;      492,44;002;São José
;;;;;;;;;;;000037 Serviço de Limpeza                                ;    3.316,25;002;São José
22.768-61                     ;  103.007,63;28/03/2013;000198;10;debito bancario          ;   26.340,47;            ;MILCLEAN COM. E SERVIÇOS LTDA                          ;REF. a NF 4221                                                                                                          ;  174.381,28;000037 Serviço de Limpeza                                ;    1.317,02;001;Taubaté
;;;;;;;;;;;000037 Serviço de Limpeza                                ;      289,75;001;Taubaté
;;;;;;;;;;;000037 Serviço de Limpeza                                ;    1.480,33;001;Taubaté
;;;;;;;;;;;000037 Serviço de Limpeza                                ;       79,03;001;Taubaté
;;;;;;;;;;;000037 Serviço de Limpeza                                ;      389,84;001;Taubaté
;;;;;;;;;;;000037 Serviço de Limpeza                                ;   13.012,19;001;Taubaté
;;;;;;;;;;;000037 Serviço de Limpeza                                ;    5.320,77;001;Taubaté
;;;;;;;;;;;000037 Serviço de Limpeza                                ;    4.451,54;001;Taubaté
22.768-61                     ;  103.007,63;28/03/2013;000199;10;debito bancario          ;      921,40;            ;CRAL ARTIGOS PARA LABORATORIO LTDA                     ;REF. a NF 34945                                                                                                         ;  173.459,88;000048 Estoque Laboratório                               ;      921,40;001;Taubaté
22.768-61                     ;  103.007,63;28/03/2013;000200;10;debito bancario          ;       10,00;            ;SINDHOSP SIND HOSP DO ESTADO DE SP                     ;REF. a NF 2503                                                                                                          ;  173.449,88;000028 Sindicatos                                        ;       10,00;001;Taubaté
22.768-61                     ;  103.007,63;28/03/2013;000201;10;debito bancario          ;      120,00;            ;SINDHOSP SIND HOSP DO ESTADO DE SP                     ;REF. a NF 1503                                                                                                          ;  173.329,88;000028 Sindicatos                                        ;      120,00;001;Taubaté
22.768-61                     ;  103.007,63;28/03/2013;000202;10;debito bancario          ;       10,00;            ;SINDHOSP SIND HOSP DO ESTADO DE SP                     ;REF. a NF 1503                                                                                                          ;  173.319,88;000028 Sindicatos                                        ;       10,00;001;Taubaté
22.768-61                     ;  103.007,63;28/03/2013;000203;10;debito bancario          ;    1.010,46;            ;ONCO PROD DIST.PRODUTO HOSP E ONCOLOGIA LTDA           ;REF. a NF 873339                                                                                                        ;  172.309,42;000051 Estoque Hemo - MEDICAMENTOS                       ;    1.010,46;001;Taubaté
22.768-61                     ;  103.007,63;28/03/2013;000204;10;debito bancario          ;    8.755,70;            ;KLAUSEG ZELADORIA PATRIMONIAL                          ;REF. a NF 314                                                                                                           ;  163.553,72;000041 Serviço Vigilância                                ;       52,53;002;São José
;;;;;;;;;;;000041 Serviço Vigilância                                ;      218,89;002;São José
;;;;;;;;;;;000041 Serviço Vigilância                                ;      128,71;002;São José
;;;;;;;;;;;000041 Serviço Vigilância                                ;        5,25;002;São José
;;;;;;;;;;;000041 Serviço Vigilância                                ;       49,91;002;São José
;;;;;;;;;;;000041 Serviço Vigilância                                ;    5.069,55;002;São José
;;;;;;;;;;;000041 Serviço Vigilância                                ;      323,97;002;São José
;;;;;;;;;;;000041 Serviço Vigilância                                ;    2.906,89;002;São José
22.768-61                     ;  103.007,63;28/03/2013;000205;10;debito bancario          ;    3.115,30;            ;TRESCON- TREINAMENTO                                   ;REF. a NF 538                                                                                                           ;  160.438,42;000039 Serviço Contratado PJ                             ;    3.115,30;001;Taubaté
22.768-61                     ;  103.007,63;28/03/2013;000206;10;debito bancario          ;      553,40;            ;TRESCON- TREINAMENTO                                   ;REF. a NF 537                                                                                                           ;  159.885,02;000039 Serviço Contratado PJ                             ;      553,40;002;São José
22.768-61                     ;  103.007,63;28/03/2013;000207;10;debito bancario          ;      105,40;            ;CONSELHO REGIONAL DE MEDICINA                          ;REF. a NF 0401                                                                                                          ;  159.779,62;000081 Taxa de renovação de licenças e impostos          ;      105,40;001;Taubaté
22.768-61                     ;  103.007,63;28/03/2013;000208;10;debito bancario          ;      316,00;            ;CONSELHO REGIONAL DE MEDICINA                          ;REF. a NF 919333                                                                                                        ;  159.463,62;000081 Taxa de renovação de licenças e impostos          ;      316,00;001;Taubaté
22.768-61                     ;  103.007,63;28/03/2013;000209;10;debito bancario          ;      261,00;            ;CENTROVALE COM. E PRODUTOS HOSPITALARES LTDA           ;REF. a NF 27316                                                                                                         ;  159.202,62;000047 Estoque Hemo                                      ;      261,00;001;Taubaté
22.768-61                     ;  103.007,63;28/03/2013;000210;10;debito bancario          ;      127,62;            ;CENTROVALE COM. E PRODUTOS HOSPITALARES LTDA           ;REF. a NF 27327                                                                                                         ;  159.075,00;000047 Estoque Hemo                                      ;      127,62;001;Taubaté
22.768-61                     ;  103.007,63;28/03/2013;000211;10;debito bancario          ;      491,83;            ;KR ASSISTENCIA MEDICA SS LTDA                          ;REF. a NF 52                                                                                                            ;  158.583,17;000105 Retenção 4,65% s/ NFs - CÓD. 5952                 ;      491,83;001;Taubaté
22.768-61                     ;  103.007,63;28/03/2013;000212;10;debito bancario          ;      328,50;            ;KLAUSEG ZELADORIA PATRIMONIAL                          ;REF. a NF 315                                                                                                           ;  158.254,67;000105 Retenção 4,65% s/ NFs - CÓD. 5952                 ;      328,50;001;Taubaté
22.768-61                     ;  103.007,63;28/03/2013;000213;10;debito bancario          ;   14.925,78;            ;SECRETARIA DA RECEITA FEDERAL DO BRASIL.               ;REF. a NF 2503                                                                                                          ;  143.328,89;000108 Cofins s/ Faturamento                             ;    2.841,87;001;Taubaté
;;;;;;;;;;;000108 Cofins s/ Faturamento                             ;      104,48;001;Taubaté
;;;;;;;;;;;000108 Cofins s/ Faturamento                             ;       29,85;001;Taubaté
;;;;;;;;;;;000108 Cofins s/ Faturamento                             ;      380,61;001;Taubaté
;;;;;;;;;;;000108 Cofins s/ Faturamento                             ;       19,40;001;Taubaté
;;;;;;;;;;;000108 Cofins s/ Faturamento                             ;      100,00;001;Taubaté
;;;;;;;;;;;000108 Cofins s/ Faturamento                             ;    8.207,69;001;Taubaté
;;;;;;;;;;;000108 Cofins s/ Faturamento                             ;      258,22;001;Taubaté
;;;;;;;;;;;000108 Cofins s/ Faturamento                             ;      247,77;002;São José
;;;;;;;;;;;000108 Cofins s/ Faturamento                             ;      149,26;002;São José
;;;;;;;;;;;000108 Cofins s/ Faturamento                             ;       62,69;002;São José
;;;;;;;;;;;000108 Cofins s/ Faturamento                             ;       23,88;002;São José
;;;;;;;;;;;000108 Cofins s/ Faturamento                             ;    2.213,49;002;São José
;;;;;;;;;;;000108 Cofins s/ Faturamento                             ;      286,57;002;São José
22.768-61                     ;  103.007,63;28/03/2013;000214;10;debito bancario          ;      128,90;            ;VIVO S.A                                               ;REF. a NF 1803                                                                                                          ;  143.199,99;000010 Internet                                          ;      128,90;001;Taubaté
22.768-61                     ;  103.007,63;28/03/2013;000215;10;debito bancario          ;    2.331,96;            ;SECRETARIA DA RECEITA FEDERAL DO BRASIL.               ;REF. a darf parcelamento 36/60                                                                                          ;  140.868,03;000108 Cofins s/ Faturamento                             ;    2.331,96;001;Taubaté
22.768-61                     ;  103.007,63;28/03/2013;000216;10;debito bancario          ;      780,51;            ;SECRETARIA DA RECEITA FEDERAL DO BRASIL.               ;REF. a NF 2803                                                                                                          ;  140.087,52;000108 Cofins s/ Faturamento                             ;      148,61;001;Taubaté
;;;;;;;;;;;000108 Cofins s/ Faturamento                             ;        5,46;001;Taubaté
;;;;;;;;;;;000108 Cofins s/ Faturamento                             ;        1,56;001;Taubaté
;;;;;;;;;;;000108 Cofins s/ Faturamento                             ;       19,90;001;Taubaté
;;;;;;;;;;;000108 Cofins s/ Faturamento                             ;        1,01;001;Taubaté
;;;;;;;;;;;000108 Cofins s/ Faturamento                             ;        5,23;001;Taubaté
;;;;;;;;;;;000108 Cofins s/ Faturamento                             ;      429,20;001;Taubaté
;;;;;;;;;;;000108 Cofins s/ Faturamento                             ;       13,50;001;Taubaté
;;;;;;;;;;;000108 Cofins s/ Faturamento                             ;       12,96;002;São José
;;;;;;;;;;;000108 Cofins s/ Faturamento                             ;        7,81;002;São José
;;;;;;;;;;;000108 Cofins s/ Faturamento                             ;        3,28;002;São José
;;;;;;;;;;;000108 Cofins s/ Faturamento                             ;        1,25;002;São José
;;;;;;;;;;;000108 Cofins s/ Faturamento                             ;      115,75;002;São José
;;;;;;;;;;;000108 Cofins s/ Faturamento                             ;       14,99;002;São José
