CTA ORCTO;No.DOCTO;PARCELA;FORNECEDOR;VENCTO;PAGTO;VALOR;C.CUSTO;UNIDADE
00034 Serviço de Laboratório                            ;21743   ;001;76097831000195       LABORATORIO ALVARO LTDA                      ;29/03/2013;05/04/2013;       35,59;001006 Laboratorio DPA                                   ;002 São José
00034 Serviço de Laboratório                            ;21743   ;001;76097831000195       LABORATORIO ALVARO LTDA                      ;29/03/2013;05/04/2013;      206,26;001007 Laboratorio Externo                               ;002 São José
00036 Serviço de Lavanderia                             ;21600   ;001;05.971.027/0001-45   TH LAVEX LAVANDERIA HOSPITALAR E IND LTDA ME ;08/03/2013;08/03/2013;      267,56;002001 Hemodialise                                       ;001 Taubaté
00036 Serviço de Lavanderia                             ;21608   ;001;05915971000185       WASH SAFETY SERV PERSONALIZADO               ;13/03/2013;13/03/2013;      469,12;002001 Hemodialise                                       ;001 Taubaté
00036 Serviço de Lavanderia                             ;21608   ;001;05915971000185       WASH SAFETY SERV PERSONALIZADO               ;13/03/2013;13/03/2013;      117,28;002001 Hemodialise                                       ;002 São José
00036 Serviço de Lavanderia                             ;21699   ;001;05.971.027/0001-45   TH LAVEX LAVANDERIA HOSPITALAR E IND LTDA ME ;22/03/2013;22/03/2013;      312,03;002001 Hemodialise                                       ;001 Taubaté
00036 Serviço de Lavanderia                             ;21699   ;001;05.971.027/0001-45   TH LAVEX LAVANDERIA HOSPITALAR E IND LTDA ME ;22/03/2013;22/03/2013;       78,01;002001 Hemodialise                                       ;002 São José
00037 Serviço de Limpeza                                ;21476   ;001;02.666.114/0001-09   MILCLEAN COM. E SERVIÇOS LTDA                ;29/03/2013;28/03/2013;    1.317,02;000012 Dialise Peritonial - DPA                          ;001 Taubaté
00037 Serviço de Limpeza                                ;21476   ;001;02.666.114/0001-09   MILCLEAN COM. E SERVIÇOS LTDA                ;29/03/2013;28/03/2013;      289,75;000015 Procedimento Cirurgicos                           ;001 Taubaté
00037 Serviço de Limpeza                                ;21476   ;001;02.666.114/0001-09   MILCLEAN COM. E SERVIÇOS LTDA                ;29/03/2013;28/03/2013;    1.480,33;001001 Laboratorio Hemo                                  ;001 Taubaté
00037 Serviço de Limpeza                                ;21476   ;001;02.666.114/0001-09   MILCLEAN COM. E SERVIÇOS LTDA                ;29/03/2013;28/03/2013;       79,03;001006 Laboratorio DPA                                   ;001 Taubaté
00037 Serviço de Limpeza                                ;21476   ;001;02.666.114/0001-09   MILCLEAN COM. E SERVIÇOS LTDA                ;29/03/2013;28/03/2013;      389,84;001007 Laboratorio Externo                               ;001 Taubaté
00037 Serviço de Limpeza                                ;21476   ;001;02.666.114/0001-09   MILCLEAN COM. E SERVIÇOS LTDA                ;29/03/2013;28/03/2013;   13.012,19;002001 Hemodialise                                       ;001 Taubaté
00037 Serviço de Limpeza                                ;21476   ;001;02.666.114/0001-09   MILCLEAN COM. E SERVIÇOS LTDA                ;29/03/2013;28/03/2013;    5.320,77;003001 Administracao                                     ;001 Taubaté
00037 Serviço de Limpeza                                ;21476   ;001;02.666.114/0001-09   MILCLEAN COM. E SERVIÇOS LTDA                ;29/03/2013;28/03/2013;    4.451,54;004001 Consultorio                                       ;001 Taubaté
00037 Serviço de Limpeza                                ;21481   ;001;02.666.114/0001-09   MILCLEAN COM. E SERVIÇOS LTDA                ;29/03/2013;28/03/2013;      146,83;001001 Laboratorio Hemo                                  ;002 São José
00037 Serviço de Limpeza                                ;21481   ;001;02.666.114/0001-09   MILCLEAN COM. E SERVIÇOS LTDA                ;29/03/2013;28/03/2013;    6.033,18;002001 Hemodialise                                       ;002 São José
00037 Serviço de Limpeza                                ;21481   ;001;02.666.114/0001-09   MILCLEAN COM. E SERVIÇOS LTDA                ;29/03/2013;28/03/2013;      492,44;003001 Administracao                                     ;002 São José
00037 Serviço de Limpeza                                ;21481   ;001;02.666.114/0001-09   MILCLEAN COM. E SERVIÇOS LTDA                ;29/03/2013;28/03/2013;    3.316,25;004001 Consultorio                                       ;002 São José
00038 Serviço de Remoção                                ;21535   ;001;03969228000182       DO VAL SERV MEDICOS LTDA                     ;20/03/2013;22/03/2013;      165,00;002001 Hemodialise                                       ;001 Taubaté
00039 Serviço Contratado PJ                             ;21583   ;001;04.069.709/0001-02   BIONEXO DO BRASIL LTDA                       ;01/03/2013;11/03/2013;    2.302,24;002001 Hemodialise                                       ;001 Taubaté
00039 Serviço Contratado PJ                             ;21603   ;001;17287191000117       G. NARESSI LUCCI & CIA LTDA ME               ;08/03/2013;08/03/2013;      994,70;003001 Administracao                                     ;001 Taubaté
00039 Serviço Contratado PJ                             ;21603   ;001;17287191000117       G. NARESSI LUCCI & CIA LTDA ME               ;08/03/2013;08/03/2013;      426,30;003001 Administracao                                     ;002 São José
00039 Serviço Contratado PJ                             ;21504   ;001;45.171.402/0001-97   UNIMED DE TAUBATÉ COOPERATIVA                ;10/03/2013;11/03/2013;        5,01;000012 Dialise Peritonial - DPA                          ;001 Taubaté
00039 Serviço Contratado PJ                             ;21504   ;001;45.171.402/0001-97   UNIMED DE TAUBATÉ COOPERATIVA                ;10/03/2013;11/03/2013;        6,76;000014 U.T.I - Dialise Externa                           ;001 Taubaté
00039 Serviço Contratado PJ                             ;21504   ;001;45.171.402/0001-97   UNIMED DE TAUBATÉ COOPERATIVA                ;10/03/2013;11/03/2013;            ;000015 Procedimento Cirurgicos                           ;001 Taubaté
00039 Serviço Contratado PJ                             ;21504   ;001;45.171.402/0001-97   UNIMED DE TAUBATÉ COOPERATIVA                ;10/03/2013;11/03/2013;        3,90;001001 Laboratorio Hemo                                  ;001 Taubaté
00039 Serviço Contratado PJ                             ;21504   ;001;45.171.402/0001-97   UNIMED DE TAUBATÉ COOPERATIVA                ;10/03/2013;11/03/2013;        0,21;001006 Laboratorio DPA                                   ;001 Taubaté
00039 Serviço Contratado PJ                             ;21504   ;001;45.171.402/0001-97   UNIMED DE TAUBATÉ COOPERATIVA                ;10/03/2013;11/03/2013;        1,03;001007 Laboratorio Externo                               ;001 Taubaté
00039 Serviço Contratado PJ                             ;21504   ;001;45.171.402/0001-97   UNIMED DE TAUBATÉ COOPERATIVA                ;10/03/2013;11/03/2013;       65,89;002001 Hemodialise                                       ;001 Taubaté
00039 Serviço Contratado PJ                             ;21504   ;001;45.171.402/0001-97   UNIMED DE TAUBATÉ COOPERATIVA                ;10/03/2013;11/03/2013;       11,88;003001 Administracao                                     ;001 Taubaté
00039 Serviço Contratado PJ                             ;21504   ;001;45.171.402/0001-97   UNIMED DE TAUBATÉ COOPERATIVA                ;10/03/2013;11/03/2013;        1,32;004001 Consultorio                                       ;001 Taubaté
00039 Serviço Contratado PJ                             ;21505   ;001;45.171.402/0001-97   UNIMED DE TAUBATÉ COOPERATIVA                ;10/03/2013;11/03/2013;       45,77;000012 Dialise Peritonial - DPA                          ;001 Taubaté
00039 Serviço Contratado PJ                             ;21505   ;001;45.171.402/0001-97   UNIMED DE TAUBATÉ COOPERATIVA                ;10/03/2013;11/03/2013;       61,73;000014 U.T.I - Dialise Externa                           ;001 Taubaté
00039 Serviço Contratado PJ                             ;21505   ;001;45.171.402/0001-97   UNIMED DE TAUBATÉ COOPERATIVA                ;10/03/2013;11/03/2013;        0,02;000015 Procedimento Cirurgicos                           ;001 Taubaté
00039 Serviço Contratado PJ                             ;21505   ;001;45.171.402/0001-97   UNIMED DE TAUBATÉ COOPERATIVA                ;10/03/2013;11/03/2013;       35,60;001001 Laboratorio Hemo                                  ;001 Taubaté
00039 Serviço Contratado PJ                             ;21505   ;001;45.171.402/0001-97   UNIMED DE TAUBATÉ COOPERATIVA                ;10/03/2013;11/03/2013;        1,93;001006 Laboratorio DPA                                   ;001 Taubaté
00039 Serviço Contratado PJ                             ;21505   ;001;45.171.402/0001-97   UNIMED DE TAUBATÉ COOPERATIVA                ;10/03/2013;11/03/2013;        9,38;001007 Laboratorio Externo                               ;001 Taubaté
00039 Serviço Contratado PJ                             ;21505   ;001;45.171.402/0001-97   UNIMED DE TAUBATÉ COOPERATIVA                ;10/03/2013;11/03/2013;      601,90;002001 Hemodialise                                       ;001 Taubaté
00039 Serviço Contratado PJ                             ;21505   ;001;45.171.402/0001-97   UNIMED DE TAUBATÉ COOPERATIVA                ;10/03/2013;11/03/2013;      108,56;003001 Administracao                                     ;001 Taubaté
00039 Serviço Contratado PJ                             ;21505   ;001;45.171.402/0001-97   UNIMED DE TAUBATÉ COOPERATIVA                ;10/03/2013;11/03/2013;       12,01;004001 Consultorio                                       ;001 Taubaté
00039 Serviço Contratado PJ                             ;21537   ;001;05498232000135       EBRAM VILELA ADOVGAD ASSOSCIADOS             ;10/03/2013;11/03/2013;    1.175,01;003001 Administracao                                     ;001 Taubaté
00039 Serviço Contratado PJ                             ;21549   ;001;54.692.645/0001-61   CENTRO DE QUALIDADE ANALITICA                ;14/03/2013;14/03/2013;    1.727,69;002001 Hemodialise                                       ;001 Taubaté
00039 Serviço Contratado PJ                             ;21551   ;001;54.692.645/0001-61   CENTRO DE QUALIDADE ANALITICA                ;14/03/2013;14/03/2013;    1.715,87;002001 Hemodialise                                       ;002 São José
00039 Serviço Contratado PJ                             ;21522   ;001;10742                D M G RIGHI                                  ;19/03/2013;20/03/2013;      420,00;002001 Hemodialise                                       ;001 Taubaté
00039 Serviço Contratado PJ                             ;21688   ;001;05.627.915/0001-45   LABORATORIO DE ANALISES CLINICAS LABCLIN LTDA;20/03/2013;20/03/2013;      120,00;002001 Hemodialise                                       ;001 Taubaté
00039 Serviço Contratado PJ                             ;21811   ;001;54.692.645/0001-61   CENTRO DE QUALIDADE ANALITICA                ;27/03/2013;10/04/2013;    1.715,87;002001 Hemodialise                                       ;002 São José
00039 Serviço Contratado PJ                             ;21740   ;001;9372                 TERRA RECURSOS HUMANOS LTDA.                 ;28/03/2013;10/04/2013;      563,71;003001 Administracao                                     ;002 São José
00039 Serviço Contratado PJ                             ;21741   ;001;9372                 TERRA RECURSOS HUMANOS LTDA.                 ;28/03/2013;10/04/2013;    3.035,30;003001 Administracao                                     ;001 Taubaté
00039 Serviço Contratado PJ                             ;21755   ;001;9372                 TERRA RECURSOS HUMANOS LTDA.                 ;28/03/2013;28/03/2013;       65,00;002001 Hemodialise                                       ;001 Taubaté
00039 Serviço Contratado PJ                             ;21364   ;001;47                   TRESCON- TREINAMENTO                         ;31/03/2013;28/03/2013;    3.115,30;003001 Administracao                                     ;001 Taubaté
00039 Serviço Contratado PJ                             ;21457   ;001;47                   TRESCON- TREINAMENTO                         ;31/03/2013;28/03/2013;      553,40;003001 Administracao                                     ;002 São José
00041 Serviço Vigilância                                ;21539   ;001;07.344.389/0001-31   KLAUSEG ZELADORIA PATRIMONIAL                ;15/03/2013;15/03/2013;      293,26;000012 Dialise Peritonial - DPA                          ;001 Taubaté
00041 Serviço Vigilância                                ;21539   ;001;07.344.389/0001-31   KLAUSEG ZELADORIA PATRIMONIAL                ;15/03/2013;15/03/2013;       35,19;000013 Hemo - MEDICAMENTOS                               ;001 Taubaté
00041 Serviço Vigilância                                ;21539   ;001;07.344.389/0001-31   KLAUSEG ZELADORIA PATRIMONIAL                ;15/03/2013;15/03/2013;       64,52;000014 U.T.I - Dialise Externa                           ;001 Taubaté
00041 Serviço Vigilância                                ;21539   ;001;07.344.389/0001-31   KLAUSEG ZELADORIA PATRIMONIAL                ;15/03/2013;15/03/2013;       64,52;000015 Procedimento Cirurgicos                           ;001 Taubaté
00041 Serviço Vigilância                                ;21539   ;001;07.344.389/0001-31   KLAUSEG ZELADORIA PATRIMONIAL                ;15/03/2013;15/03/2013;      574,80;000016 Farmacia - PRODUÇÃO                               ;001 Taubaté
00041 Serviço Vigilância                                ;21539   ;001;07.344.389/0001-31   KLAUSEG ZELADORIA PATRIMONIAL                ;15/03/2013;15/03/2013;      329,62;001001 Laboratorio Hemo                                  ;001 Taubaté
00041 Serviço Vigilância                                ;21539   ;001;07.344.389/0001-31   KLAUSEG ZELADORIA PATRIMONIAL                ;15/03/2013;15/03/2013;       17,60;001006 Laboratorio DPA                                   ;001 Taubaté
00041 Serviço Vigilância                                ;21539   ;001;07.344.389/0001-31   KLAUSEG ZELADORIA PATRIMONIAL                ;15/03/2013;15/03/2013;       86,81;001007 Laboratorio Externo                               ;001 Taubaté
00041 Serviço Vigilância                                ;21539   ;001;07.344.389/0001-31   KLAUSEG ZELADORIA PATRIMONIAL                ;15/03/2013;15/03/2013;    2.428,22;002001 Hemodialise                                       ;001 Taubaté
00041 Serviço Vigilância                                ;21539   ;001;07.344.389/0001-31   KLAUSEG ZELADORIA PATRIMONIAL                ;15/03/2013;15/03/2013;    1.184,78;003001 Administracao                                     ;001 Taubaté
00041 Serviço Vigilância                                ;21539   ;001;07.344.389/0001-31   KLAUSEG ZELADORIA PATRIMONIAL                ;15/03/2013;15/03/2013;      785,95;004001 Consultorio                                       ;001 Taubaté
00041 Serviço Vigilância                                ;21544   ;001;07.344.389/0001-31   KLAUSEG ZELADORIA PATRIMONIAL                ;31/03/2013;28/03/2013;       52,53;000012 Dialise Peritonial - DPA                          ;002 São José
00041 Serviço Vigilância                                ;21544   ;001;07.344.389/0001-31   KLAUSEG ZELADORIA PATRIMONIAL                ;31/03/2013;28/03/2013;      218,89;000016 Farmacia - PRODUÇÃO                               ;002 São José
00041 Serviço Vigilância                                ;21544   ;001;07.344.389/0001-31   KLAUSEG ZELADORIA PATRIMONIAL                ;31/03/2013;28/03/2013;      128,71;001001 Laboratorio Hemo                                  ;002 São José
00041 Serviço Vigilância                                ;21544   ;001;07.344.389/0001-31   KLAUSEG ZELADORIA PATRIMONIAL                ;31/03/2013;28/03/2013;        5,25;001006 Laboratorio DPA                                   ;002 São José
00041 Serviço Vigilância                                ;21544   ;001;07.344.389/0001-31   KLAUSEG ZELADORIA PATRIMONIAL                ;31/03/2013;28/03/2013;       49,91;001007 Laboratorio Externo                               ;002 São José
00041 Serviço Vigilância                                ;21544   ;001;07.344.389/0001-31   KLAUSEG ZELADORIA PATRIMONIAL                ;31/03/2013;28/03/2013;    5.069,55;002001 Hemodialise                                       ;002 São José
00041 Serviço Vigilância                                ;21544   ;001;07.344.389/0001-31   KLAUSEG ZELADORIA PATRIMONIAL                ;31/03/2013;28/03/2013;      323,97;003001 Administracao                                     ;002 São José
00041 Serviço Vigilância                                ;21544   ;001;07.344.389/0001-31   KLAUSEG ZELADORIA PATRIMONIAL                ;31/03/2013;28/03/2013;    2.906,89;004001 Consultorio                                       ;002 São José
00043 Guarda Mirim                                      ;21466   ;001;72304470000150       GUARDA MIRIM DE TAUBATE                      ;05/03/2013;05/03/2013;    1.960,04;002001 Hemodialise                                       ;001 Taubaté
00047 Estoque Hemo                                      ;21332   ;001;55.309.074/0001-04   CIRURGICA SÃO JOSÉ LTDA.                     ;01/03/2013;01/03/2013;       44,69;002001 Hemodialise                                       ;001 Taubaté
00047 Estoque Hemo                                      ;21333   ;001;55.309.074/0001-04   CIRURGICA SÃO JOSÉ LTDA.                     ;01/03/2013;01/03/2013;    3.905,88;002001 Hemodialise                                       ;001 Taubaté
00047 Estoque Hemo                                      ;21401   ;001;53.276.010/0001-10   HEXIS CIENTÍFICA S/A                         ;01/03/2013;01/03/2013;      399,96;002001 Hemodialise                                       ;001 Taubaté
00047 Estoque Hemo                                      ;21321   ;001;00.762.455/0001-44   NIPROMEDICAL LTDA.                           ;02/03/2013;04/03/2013;    4.830,00;002001 Hemodialise                                       ;001 Taubaté
00047 Estoque Hemo                                      ;21335   ;001;53.611.125/0001-14   CENTROVALE COM. E PRODUTOS HOSPITALARES LTDA ;02/03/2013;04/03/2013;    2.295,00;002001 Hemodialise                                       ;001 Taubaté
00047 Estoque Hemo                                      ;21324   ;001;15.514.846/0001-17   T.F. FERRERA MEDIC ESPECIALIZADO             ;04/03/2013;04/03/2013;    1.366,64;002001 Hemodialise                                       ;001 Taubaté
00047 Estoque Hemo                                      ;21340   ;001;62007711000145       ULTRA PROD. ANALITICOS LTDA                  ;04/03/2013;04/03/2013;      937,50;002001 Hemodialise                                       ;001 Taubaté
00047 Estoque Hemo                                      ;21337   ;001;55.309.074/0001-04   CIRURGICA SÃO JOSÉ LTDA.                     ;05/03/2013;05/03/2013;      450,00;002001 Hemodialise                                       ;001 Taubaté
00047 Estoque Hemo                                      ;21325   ;002;82.641.325/0018-66   CREMER S. A.                                 ;06/03/2013;06/03/2013;    1.617,03;002001 Hemodialise                                       ;001 Taubaté
00047 Estoque Hemo                                      ;21336   ;001;53.611.125/0001-14   CENTROVALE COM. E PRODUTOS HOSPITALARES LTDA ;06/03/2013;06/03/2013;    2.286,90;002001 Hemodialise                                       ;001 Taubaté
00047 Estoque Hemo                                      ;21395   ;001;10784                PRONEFRO                                     ;06/03/2013;06/03/2013;    6.480,00;002001 Hemodialise                                       ;001 Taubaté
00047 Estoque Hemo                                      ;21323   ;001;01.310.222/0001-73   CIRURGICA MAFRA LTDA.                        ;07/03/2013;07/03/2013;      113,28;002001 Hemodialise                                       ;001 Taubaté
00047 Estoque Hemo                                      ;21341   ;001;00.762.455/0001-44   NIPROMEDICAL LTDA.                           ;07/03/2013;07/03/2013;      630,00;002001 Hemodialise                                       ;001 Taubaté
00047 Estoque Hemo                                      ;21400   ;001;53.276.010/0001-10   HEXIS CIENTÍFICA S/A                         ;07/03/2013;07/03/2013;      973,20;002001 Hemodialise                                       ;001 Taubaté
00047 Estoque Hemo                                      ;21397   ;001;66.437.831/0001-33   HTS- TECNOLOGIA EM SAÚDE COM. IMP. E EXP.LTDA;10/03/2013;11/03/2013;    1.350,00;002001 Hemodialise                                       ;001 Taubaté
00047 Estoque Hemo                                      ;21325   ;003;82.641.325/0018-66   CREMER S. A.                                 ;13/03/2013;13/03/2013;    1.617,03;002001 Hemodialise                                       ;001 Taubaté
00047 Estoque Hemo                                      ;21334   ;001;10747                MECANO PACK EMBALAGENS                       ;13/03/2013;13/03/2013;      241,80;002001 Hemodialise                                       ;001 Taubaté
00047 Estoque Hemo                                      ;21399   ;001;15.514.846/0001-17   T.F. FERRERA MEDIC ESPECIALIZADO             ;14/03/2013;14/03/2013;      680,00;002001 Hemodialise                                       ;001 Taubaté
00047 Estoque Hemo                                      ;21407   ;001;53246997000635       MACROMED C.M. MED. HOSP. LTDA                ;14/03/2013;14/03/2013;      796,70;002001 Hemodialise                                       ;001 Taubaté
00047 Estoque Hemo                                      ;21408   ;001;55.309.074/0001-04   CIRURGICA SÃO JOSÉ LTDA.                     ;14/03/2013;14/03/2013;      450,00;002001 Hemodialise                                       ;001 Taubaté
00047 Estoque Hemo                                      ;21489   ;001;03.794.894/0001-27   SUPERMED COM E IMP PROD MED E HOSPITALAR LTDA;14/03/2013;14/03/2013;    1.392,00;002001 Hemodialise                                       ;001 Taubaté
00047 Estoque Hemo                                      ;21406   ;001;68079854/001-49      BIORTECH COM HOSPITALARES                    ;15/03/2013;15/03/2013;      460,00;002001 Hemodialise                                       ;001 Taubaté
00047 Estoque Hemo                                      ;21492   ;001;64.802.739/0001-08   CROMATO PRODUTOS QUÍMICOS                    ;15/03/2013;15/03/2013;    2.800,00;002001 Hemodialise                                       ;001 Taubaté
00047 Estoque Hemo                                      ;21409   ;001;55.309.074/0001-04   CIRURGICA SÃO JOSÉ LTDA.                     ;16/03/2013;18/03/2013;    1.554,00;002001 Hemodialise                                       ;001 Taubaté
00047 Estoque Hemo                                      ;21140   ;002;05852138000132       LF Wolf Arias Hospitalares Ltda              ;17/03/2013;15/03/2013;    5.004,00;002001 Hemodialise                                       ;001 Taubaté
00047 Estoque Hemo                                      ;21396   ;001;53.611.125/0001-14   CENTROVALE COM. E PRODUTOS HOSPITALARES LTDA ;17/03/2013;18/03/2013;      245,90;002001 Hemodialise                                       ;001 Taubaté
00047 Estoque Hemo                                      ;21137   ;001;49.351.786/0001-80   BAXTER HOSPITALAR LTDA                       ;18/03/2013;18/03/2013;   14.349,70;002001 Hemodialise                                       ;001 Taubaté
00047 Estoque Hemo                                      ;21398   ;001;15.514.846/0001-17   T.F. FERRERA MEDIC ESPECIALIZADO             ;18/03/2013;18/03/2013;      707,50;002001 Hemodialise                                       ;001 Taubaté
00047 Estoque Hemo                                      ;21490   ;001;15.514.846/0001-17   T.F. FERRERA MEDIC ESPECIALIZADO             ;20/03/2013;20/03/2013;      703,20;002001 Hemodialise                                       ;001 Taubaté
00047 Estoque Hemo                                      ;21403   ;001;01.440.590/0001-36   FRESENIUS MEDICAL LTDA                       ;21/03/2013;10/04/2013;   24.682,80;002001 Hemodialise                                       ;001 Taubaté
00047 Estoque Hemo                                      ;21404   ;001;01.440.590/0001-36   FRESENIUS MEDICAL LTDA                       ;21/03/2013;10/04/2013;    5.057,50;002001 Hemodialise                                       ;002 São José
00047 Estoque Hemo                                      ;21488   ;001;15.514.846/0001-17   T.F. FERRERA MEDIC ESPECIALIZADO             ;21/03/2013;21/03/2013;      100,80;002001 Hemodialise                                       ;001 Taubaté
00047 Estoque Hemo                                      ;21491   ;001;55.309.074/0001-04   CIRURGICA SÃO JOSÉ LTDA.                     ;21/03/2013;21/03/2013;    1.353,42;002001 Hemodialise                                       ;001 Taubaté
00047 Estoque Hemo                                      ;21493   ;001;55.309.074/0001-04   CIRURGICA SÃO JOSÉ LTDA.                     ;21/03/2013;21/03/2013;      385,00;002001 Hemodialise                                       ;001 Taubaté
00047 Estoque Hemo                                      ;21405   ;001;01.440.590/0001-36   FRESENIUS MEDICAL LTDA                       ;22/03/2013;10/04/2013;    8.840,00;002001 Hemodialise                                       ;001 Taubaté
00047 Estoque Hemo                                      ;21627   ;001;53246997000635       MACROMED C.M. MED. HOSP. LTDA                ;23/03/2013;26/03/2013;    1.135,00;002001 Hemodialise                                       ;001 Taubaté
00047 Estoque Hemo                                      ;21402   ;001;18.848.316/0001-66   BIOMEDICAL PROD CIENTIFICOS MED              ;25/03/2013;25/03/2013;    2.520,00;002001 Hemodialise                                       ;001 Taubaté
00047 Estoque Hemo                                      ;21559   ;001;55.309.074/0001-04   CIRURGICA SÃO JOSÉ LTDA.                     ;26/03/2013;26/03/2013;      122,75;002001 Hemodialise                                       ;001 Taubaté
00047 Estoque Hemo                                      ;21567   ;001;53246997000635       MACROMED C.M. MED. HOSP. LTDA                ;26/03/2013;26/03/2013;    1.649,90;002001 Hemodialise                                       ;001 Taubaté
00047 Estoque Hemo                                      ;21570   ;001;15.514.846/0001-17   T.F. FERRERA MEDIC ESPECIALIZADO             ;26/03/2013;26/03/2013;      969,76;002001 Hemodialise                                       ;001 Taubaté
00047 Estoque Hemo                                      ;21617   ;001;10902                PETRA MAGO                                   ;26/03/2013;26/03/2013;      816,00;002001 Hemodialise                                       ;001 Taubaté
00047 Estoque Hemo                                      ;21628   ;001;03.794.894/0001-27   SUPERMED COM E IMP PROD MED E HOSPITALAR LTDA;26/03/2013;26/03/2013;      857,65;002001 Hemodialise                                       ;001 Taubaté
00047 Estoque Hemo                                      ;21562   ;001;53.611.125/0001-14   CENTROVALE COM. E PRODUTOS HOSPITALARES LTDA ;28/03/2013;28/03/2013;      127,62;002001 Hemodialise                                       ;001 Taubaté
00047 Estoque Hemo                                      ;21563   ;001;53.611.125/0001-14   CENTROVALE COM. E PRODUTOS HOSPITALARES LTDA ;28/03/2013;28/03/2013;      261,00;002001 Hemodialise                                       ;001 Taubaté
00047 Estoque Hemo                                      ;21569   ;001;82.641.325/0018-66   CREMER S. A.                                 ;28/03/2013;28/03/2013;    1.335,22;002001 Hemodialise                                       ;001 Taubaté
00048 Estoque Laboratório                               ;21498   ;001;56.036.718/0001-92   CENTERLAB CENTROAL DE LABORATÓRIOS LTDA      ;18/03/2013;18/03/2013;      147,30;001001 Laboratorio Hemo                                  ;001 Taubaté
00048 Estoque Laboratório                               ;21568   ;001;52.730.850/001-49    DOBBER COM. E REPRESENTAÇÕES LTDA            ;20/03/2013;20/03/2013;    1.986,06;001001 Laboratorio Hemo                                  ;001 Taubaté
00048 Estoque Laboratório                               ;21487   ;001;10624                LAFT COMERCIO DE MATERIAIS                   ;22/03/2013;22/03/2013;      308,32;001001 Laboratorio Hemo                                  ;001 Taubaté
00048 Estoque Laboratório                               ;21622   ;001;48.740.849/0001-28   CRAL ARTIGOS PARA LABORATORIO LTDA           ;30/03/2013;28/03/2013;      921,40;001001 Laboratorio Hemo                                  ;001 Taubaté
00049 Estoque Papelaria                                 ;21494   ;001;8710                 TANBY COM. DE PAPEIS                         ;06/03/2013;06/03/2013;       36,45;003001 Administracao                                     ;001 Taubaté
00049 Estoque Papelaria                                 ;21411   ;001;10664                GRÁFICA SANTANA TAUBATÉ-ME                   ;07/03/2013;07/03/2013;      470,00;003001 Administracao                                     ;001 Taubaté
00049 Estoque Papelaria                                 ;21413   ;001;8710                 TANBY COM. DE PAPEIS                         ;08/03/2013;08/03/2013;      643,80;003001 Administracao                                     ;001 Taubaté
00049 Estoque Papelaria                                 ;21414   ;001;8710                 TANBY COM. DE PAPEIS                         ;08/03/2013;13/03/2013;       77,20;003001 Administracao                                     ;001 Taubaté
00049 Estoque Papelaria                                 ;21560   ;001;10664                GRÁFICA SANTANA TAUBATÉ-ME                   ;08/03/2013;08/03/2013;      198,00;003001 Administracao                                     ;001 Taubaté
00049 Estoque Papelaria                                 ;21410   ;002;10664                GRÁFICA SANTANA TAUBATÉ-ME                   ;25/03/2013;18/03/2013;      772,82;002001 Hemodialise                                       ;001 Taubaté
00049 Estoque Papelaria                                 ;21666   ;001;8710                 TANBY COM. DE PAPEIS                         ;25/03/2013;25/03/2013;      268,00;003001 Administracao                                     ;001 Taubaté
00051 Estoque Hemo - MEDICAMENTOS                       ;20761   ;004;58.430.828/0001-60   BLAUSIEGEL INDUSTRIA E COMERCIO LTDA         ;03/03/2013;04/03/2013;      837,50;000013 Hemo - MEDICAMENTOS                               ;001 Taubaté
00051 Estoque Hemo - MEDICAMENTOS                       ;20762   ;004;58.430.828/0001-60   BLAUSIEGEL INDUSTRIA E COMERCIO LTDA         ;03/03/2013;04/03/2013;    2.688,00;000013 Hemo - MEDICAMENTOS                               ;001 Taubaté
00051 Estoque Hemo - MEDICAMENTOS                       ;21329   ;001;15.514.846/0001-17   T.F. FERRERA MEDIC ESPECIALIZADO             ;04/03/2013;04/03/2013;      929,14;000013 Hemo - MEDICAMENTOS                               ;001 Taubaté
00051 Estoque Hemo - MEDICAMENTOS                       ;20844   ;004;58.430.828/0001-60   BLAUSIEGEL INDUSTRIA E COMERCIO LTDA         ;05/03/2013;12/03/2013;    3.540,00;000013 Hemo - MEDICAMENTOS                               ;001 Taubaté
00051 Estoque Hemo - MEDICAMENTOS                       ;21092   ;003;04.307.650/0001-35   ONCO PROD DIST.PRODUTO HOSP E ONCOLOGIA LTDA ;05/03/2013;05/03/2013;    1.331,78;000013 Hemo - MEDICAMENTOS                               ;001 Taubaté
00051 Estoque Hemo - MEDICAMENTOS                       ;21142   ;002;58.430.828/0001-60   BLAUSIEGEL INDUSTRIA E COMERCIO LTDA         ;07/03/2013;07/03/2013;    3.183,84;000013 Hemo - MEDICAMENTOS                               ;001 Taubaté
00051 Estoque Hemo - MEDICAMENTOS                       ;21342   ;001;01.310.222/0001-73   CIRURGICA MAFRA LTDA.                        ;07/03/2013;07/03/2013;    1.550,40;000013 Hemo - MEDICAMENTOS                               ;001 Taubaté
00051 Estoque Hemo - MEDICAMENTOS                       ;21412   ;001;56.036.718/0001-92   CENTERLAB CENTROAL DE LABORATÓRIOS LTDA      ;08/03/2013;08/03/2013;      171,86;000013 Hemo - MEDICAMENTOS                               ;001 Taubaté
00051 Estoque Hemo - MEDICAMENTOS                       ;21417   ;001;53.611.125/0001-14   CENTROVALE COM. E PRODUTOS HOSPITALARES LTDA ;10/03/2013;11/03/2013;      558,16;000013 Hemo - MEDICAMENTOS                               ;001 Taubaté
